bos_len,fib_618,fib_786,min_align,require_s2,n,stop_rate,tp1_dest,tp1_bos,ev_dest,ev_bos,ev_split,ev_new_struct,ev_best,best_exit,fvg_stop_pct
5,0.618,0.9,2,False,53,0.9622641509433962,0.24528301886792453,0.41509433962264153,0.266763373534449,0.06617785203289565,-0.08899810865127177,0.06617785203289565,0.266763373534449,ev_dest,0.49056603773584906
5,0.5,0.85,2,False,54,0.9814814814814815,0.2037037037037037,0.35185185185185186,0.2552345984947931,-0.02686007474836753,-0.08675238522443032,-0.02686007474836753,0.2552345984947931,ev_dest,0.48148148148148145
10,0.5,0.9,2,False,89,0.9887640449438202,0.2247191011235955,0.3258426966292135,0.21466878294882502,-0.17302322151822022,-0.14909551989624215,-0.17302322151822022,0.21466878294882502,ev_dest,0.6404494382022472
5,0.5,0.9,3,False,35,1.0,0.3142857142857143,0.4,0.18588927911401787,-0.018836314746849717,-0.06318176223631758,-0.018836314746849717,0.18588927911401787,ev_dest,0.5142857142857142
14,0.5,0.85,0,False,154,0.974025974025974,0.14935064935064934,0.2792207792207792,0.1671751243299191,-0.028051965604242023,-0.1311868723845986,-0.028051965604242023,0.1671751243299191,ev_dest,0.4675324675324675
10,0.618,0.85,3,False,34,1.0,0.2647058823529412,0.2647058823529412,0.16275068963139977,-0.10754270260152801,-0.1678342576932545,-0.10754270260152801,0.16275068963139977,ev_dest,0.6764705882352942
10,0.5,0.85,2,False,74,0.9864864864864865,0.20270270270270271,0.28378378378378377,0.1490802480407865,-0.231926444992354,-0.21531119087620737,-0.231926444992354,0.1490802480407865,ev_dest,0.6216216216216216
14,0.618,0.85,0,False,110,0.990909090909091,0.12727272727272726,0.2545454545454545,0.14243296250457857,0.0229026850510812,-0.13016316938071446,0.0229026850510812,0.14243296250457857,ev_dest,0.4818181818181818
10,0.618,0.9,3,False,44,1.0,0.2727272727272727,0.3181818181818182,0.05100677662686593,-0.10486526969522995,-0.22095154353481875,-0.10486526969522995,0.09090909090909091,ev_3r,0.6818181818181818
7,0.618,0.786,0,False,79,0.9873417721518988,0.10126582278481013,0.3037974683544304,-0.19910851790135473,0.07939020960258984,-0.4446142810457222,0.07939020960258984,0.07939020960258984,ev_bos,0.4810126582278481
14,0.5,0.9,0,False,175,0.9771428571428571,0.16,0.32,0.07902764777362442,-0.056569122486685226,-0.20057293991321368,-0.056569122486685226,0.07902764777362442,ev_dest,0.49714285714285716
