bos_len,fib_618,fib_786,min_align,require_s2,n,stop_rate,tp1_dest,tp1_bos,ev_dest,ev_bos,ev_split,ev_new_struct,ev_best,best_exit,fvg_stop_pct
10,0.618,0.85,0,False,60,0.9833333333333333,0.06666666666666667,0.2,-0.3659122911422837,-0.22050726492523867,-0.5089650565067205,-0.22050726492523867,-0.2,ev_2r,0.43333333333333335
14,0.618,0.85,2,False,65,0.9692307692307692,0.07692307692307693,0.12307692307692308,-0.28194339368875565,-0.22045390725605996,-0.40694411224856986,-0.22045390725605996,-0.22045390725605996,ev_bos,0.35384615384615387
14,0.5,0.9,0,True,37,0.918918918918919,0.13513513513513514,0.16216216216216217,-0.2480719861254424,-0.6328578745885676,-0.4987068063520714,-0.6328578745885676,-0.2480719861254424,ev_dest,0.35135135135135137
10,0.5,0.9,2,False,81,0.9629629629629629,0.09876543209876543,0.1728395061728395,-0.3713458122076508,-0.27288740843036297,-0.5213053058790366,-0.27288740843036297,-0.25925925925925924,ev_3r,0.3333333333333333
14,0.5,0.85,0,True,31,0.967741935483871,0.0967741935483871,0.12903225806451613,-0.2888624989850652,-0.6574922098415411,-0.5426918515687049,-0.6574922098415411,-0.2888624989850652,ev_dest,0.41935483870967744
14,0.5,0.85,2,False,86,0.9534883720930233,0.08139534883720931,0.1511627906976744,-0.39258815225320526,-0.2949476896188354,-0.5086024946230066,-0.2949476896188354,-0.2949476896188354,ev_bos,0.3488372093023256
7,0.5,0.786,2,False,36,0.9444444444444444,0.05555555555555555,0.19444444444444445,-0.3046531894461595,-0.3867616886310127,-0.5667923283707821,-0.3867616886310127,-0.3046531894461595,ev_dest,0.19444444444444445
7,0.5,0.9,2,False,65,0.9692307692307692,0.07692307692307693,0.36923076923076925,-0.4811124261652248,-0.315690849893183,-0.676099512333315,-0.315690849893183,-0.315690849893183,ev_bos,0.3384615384615385
7,0.5,0.85,2,False,44,0.9545454545454546,0.06818181818181818,0.22727272727272727,-0.40558544641367095,-0.4061260585343174,-0.637318202741019,-0.4061260585343174,-0.40558544641367095,ev_dest,0.2727272727272727
7,0.5,0.9,3,False,30,1.0,0.1,0.3,-0.7101597626892625,-0.44496805440993303,-0.8114529930710177,-0.44496805440993303,-0.44496805440993303,ev_bos,0.23333333333333334
